                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.3432,                 3.1353,                 1.1332,                 1.1958,                0.37663,                0.22838,                0.22236,                0.12004,                0.31961,                0.17857,                0.15768,                0.06904,                 1.9612,                 4.0595,                 1.7162,                 1.5176,             0.00037213,             0.00037213,             0.00037213
                     75,                 1.3398,                 3.1231,                 1.1339,                 1.2066,                0.38796,                0.22229,                0.21798,                0.11983,                0.33091,                0.17198,                0.15948,                 0.0752,                 1.9765,                  4.001,                 1.6885,                 1.4978,             0.00037126,             0.00037126,             0.00037126
                     76,                 1.3276,                 3.1319,                 1.1225,                 1.1811,                0.40428,                0.22116,                0.22209,                0.12074,                0.35723,                0.17842,                0.16716,                0.07753,                 1.9829,                 4.0393,                 1.6999,                 1.5076,              0.0003704,              0.0003704,              0.0003704
                     77,                  1.325,                  3.121,                 1.1181,                 1.1803,                0.39327,                0.21827,                0.21506,                0.11695,                0.33316,                0.17201,                0.15423,                0.07096,                 2.0053,                 4.0537,                 1.7315,                 1.5222,             0.00036954,             0.00036954,             0.00036954
                     78,                  1.328,                 3.1279,                 1.1243,                 1.1903,                0.35331,                0.23267,                0.21096,                0.11471,                0.29857,                0.17132,                0.14331,                0.06823,                 1.9931,                 4.0688,                  1.719,                 1.5166,             0.00036868,             0.00036868,             0.00036868
                     79,                 1.3014,                 3.0867,                 1.1029,                 1.1855,                 0.3501,                0.22399,                0.20239,                0.11245,                0.30495,                0.17557,                0.14798,                0.07039,                 2.0006,                 4.0645,                  1.791,                 1.5261,             0.00036782,             0.00036782,             0.00036782
                     80,                 1.3332,                 3.0852,                 1.1142,                 1.1902,                0.38199,                0.22214,                0.21381,                0.11671,                0.32956,                0.17378,                0.15965,                0.07493,                 2.0075,                 4.0632,                  1.759,                 1.5241,             0.00036696,             0.00036696,             0.00036696
                     81,                 1.3208,                 3.1014,                 1.1079,                 1.1948,                0.37126,                0.23086,                 0.2164,                0.11762,                0.33114,                0.18199,                0.15984,                0.07399,                 1.9837,                 4.0634,                 1.7131,                  1.508,              0.0003661,              0.0003661,              0.0003661
                     82,                 1.3154,                 3.0991,                 1.0956,                  1.181,                0.34824,                0.23795,                0.20638,                0.11342,                0.36422,                0.16842,                0.15144,                0.07279,                 1.9881,                 4.1137,                 1.7261,                 1.5042,             0.00036523,             0.00036523,             0.00036523
                     83,                 1.3125,                  3.053,                 1.1013,                 1.1856,                0.40082,                0.22517,                0.21216,                0.11812,                0.33392,                0.17938,                0.15197,                0.06984,                 1.9725,                 4.0738,                 1.6799,                 1.4953,             0.00036437,             0.00036437,             0.00036437
                     84,                 1.3223,                 3.1255,                 1.1202,                 1.1944,                0.37315,                0.22561,                0.21402,                0.11871,                0.31872,                0.17492,                 0.1509,                 0.0688,                 1.9813,                 4.0761,                 1.7049,                 1.5086,             0.00036351,             0.00036351,             0.00036351
                     85,                 1.3166,                 3.1148,                  1.089,                 1.1792,                0.35932,                0.22761,                0.21097,                 0.1171,                0.30114,                0.17159,                0.15341,                0.06794,                 2.0024,                 4.0857,                 1.7472,                 1.5303,             0.00036265,             0.00036265,             0.00036265
                     86,                 1.3049,                 3.0539,                 1.0839,                 1.1746,                0.35759,                0.23334,                0.20952,                0.11514,                0.32009,                0.17229,                0.15366,                0.06612,                 1.9949,                 4.0694,                 1.7459,                 1.5356,             0.00036179,             0.00036179,             0.00036179
                     87,                 1.2976,                 3.0659,                 1.0835,                 1.1744,                0.36135,                0.22525,                0.20028,                0.10776,                0.29444,                0.17434,                0.14231,                0.06459,                 2.0111,                 4.0878,                 1.7601,                 1.5649,             0.00036093,             0.00036093,             0.00036093
                     88,                 1.3052,                 3.0667,                 1.0893,                 1.1818,                0.36146,                0.23937,                0.21153,                 0.1184,                0.29903,                0.17622,                0.14602,                0.07005,                 1.9775,                 4.0569,                 1.7015,                  1.512,             0.00036007,             0.00036007,             0.00036007
                     89,                 1.2911,                 3.0421,                  1.077,                  1.167,                0.36298,                0.23688,                0.20989,                0.11607,                0.28967,                 0.1791,                0.14462,                0.07173,                 1.9828,                  4.146,                   1.71,                 1.5347,             0.00035921,             0.00035921,             0.00035921
                     90,                    1.3,                  3.044,                 1.0732,                 1.1758,                0.36753,                0.24631,                0.22001,                0.12096,                0.30597,                0.19204,                 0.1572,                0.07465,                 1.9768,                 4.1018,                 1.6779,                 1.5276,             0.00035834,             0.00035834,             0.00035834
                     91,                 1.2994,                 3.0724,                 1.0714,                 1.1633,                0.36076,                0.23328,                0.20925,                0.11382,                0.29323,                   0.18,                0.14687,                0.07082,                 2.0106,                  4.079,                 1.6973,                 1.5401,             0.00035748,             0.00035748,             0.00035748
                     92,                 1.2763,                 3.0433,                 1.0523,                 1.1621,                0.38869,                0.21773,                0.20442,                  0.115,                0.28987,                0.16418,                0.14126,                0.06755,                 1.9883,                 4.1736,                 1.7145,                 1.5511,             0.00035662,             0.00035662,             0.00035662
                     93,                 1.2924,                  3.065,                 1.0704,                 1.1717,                0.39961,                0.21826,                0.21485,                0.11831,                0.32054,                0.16766,                0.14632,                0.06851,                 1.9725,                 4.1384,                 1.6774,                 1.5215,             0.00035576,             0.00035576,             0.00035576
                     94,                 1.2779,                 3.0498,                 1.0588,                 1.1682,                 0.3617,                0.23605,                0.20545,                0.11378,                0.31774,                0.17605,                0.14762,                0.06892,                 1.9867,                 4.0767,                  1.698,                 1.4978,              0.0003549,              0.0003549,              0.0003549
                     95,                 1.2694,                 3.0446,                  1.053,                 1.1535,                0.37176,                0.23182,                0.20964,                0.11548,                0.31245,                0.17414,                0.14698,                 0.0661,                 1.9822,                 4.0853,                 1.7052,                 1.5044,             0.00035404,             0.00035404,             0.00035404
                     96,                 1.2814,                 3.0259,                 1.0537,                 1.1706,                0.34934,                0.23054,                0.21096,                0.11836,                0.32479,                0.17003,                0.15561,                0.07038,                  2.011,                 4.0726,                 1.7041,                 1.5156,             0.00035318,             0.00035318,             0.00035318
                     97,                 1.2779,                 2.9947,                 1.0388,                 1.1644,                0.35867,                0.23604,                0.21288,                0.11959,                0.32106,                0.16808,                 0.1502,                 0.0706,                 1.9934,                  4.064,                 1.6988,                 1.5012,             0.00035232,             0.00035232,             0.00035232
                     98,                 1.2567,                 2.9685,                 1.0283,                 1.1516,                 0.3563,                0.23777,                0.21239,                0.11631,                0.28747,                0.16224,                0.13468,                  0.063,                 1.9982,                 4.1185,                 1.7232,                 1.5111,             0.00035145,             0.00035145,             0.00035145
                     99,                 1.2751,                 3.0181,                 1.0427,                 1.1578,                0.35112,                0.23704,                0.20881,                0.11578,                0.28411,                0.17334,                0.14017,                0.06887,                   1.98,                 4.0508,                 1.6968,                 1.5218,             0.00035059,             0.00035059,             0.00035059
                    100,                 1.2719,                 3.0368,                 1.0537,                 1.1486,                0.36173,                 0.2355,                0.21085,                 0.1162,                0.29878,                0.18345,                0.14923,                0.07026,                 1.9666,                 4.0566,                 1.6608,                 1.5044,             0.00034973,             0.00034973,             0.00034973
                    101,                   1.26,                 3.0346,                 1.0595,                 1.1638,                0.35715,                0.24197,                0.21263,                 0.1167,                0.29498,                0.18822,                 0.1554,                0.07217,                 1.9815,                 4.0758,                 1.6869,                  1.505,             0.00034887,             0.00034887,             0.00034887
